Hand,Win %,Tie %,Loss %
3d 7c,34.8,4.8,60.4
3d 7s,32.2,5.2,62.6
3d 8h,37.8,3.8,58.4
3d 8d,38.0,5.6,56.4
3d 8c,32.4,4.6,63.0
3d 8s,37.6,4.8,57.6
3d 9h,39.6,5.2,55.2
3d 9d,42.8,3.2,54.0
3d 9c,37.0,5.0,58.0
3d 9s,38.0,5.6,56.4
3d Th,42.0,5.8,52.2
3d Td,44.0,4.0,52.0
3d Tc,38.0,4.8,57.2
3d Ts,36.8,5.0,58.2
3d Jh,42.8,5.0,52.2
3d Jd,43.6,5.0,51.4
3d Jc,37.6,4.2,58.2
3d Js,45.0,5.8,49.2
3d Qh,43.8,4.4,51.8
3d Qd,50.4,3.8,45.8
3d Qc,43.0,4.8,52.2
3d Qs,48.6,4.4,47.0
3d Kh,48.2,3.4,48.4
3d Kd,53.6,3.0,43.4
3d Kc,53.8,3.6,42.6
3d Ks,47.8,4.0,48.2
3d Ah,54.0,3.2,42.8
3d Ad,54.8,5.4,39.8
3d Ac,55.4,4.4,40.2
3d As,54.2,4.2,41.6
3c 3s,54.6,1.4,44.0
3c 4h,37.2,5.6,57.2
3c 4d,29.2,9.4,61.4
3c 4c,34.0,6.4,59.6
3c 4s,28.2,7.4,64.4
3c 5h,37.6,5.8,56.6
3c 5d,32.6,5.8,61.6
3c 5c,38.2,5.8,56.0
3c 5s,36.6,6.0,57.4
3c 6h,32.2,5.4,62.4
3c 6d,34.6,5.8,59.6
3c 6c,35.8,5.2,59.0
3c 6s,31.4,7.8,60.8
3c 7h,34.8,6.2,59.0
3c 7d,37.0,5.4,57.6
3c 7c,39.0,5.6,55.4
3c 7s,34.6,4.2,61.2
3c 8h,35.8,5.4,58.8
3c 8d,35.6,4.6,59.8
3c 8c,39.6,4.4,56.0
3c 8s,37.2,5.0,57.8
3c 9h,36.0,7.0,57.0
3c 9d,40.6,7.2,52.2
3c 9c,42.0,4.2,53.8
3c 9s,40.6,5.4,54.0
3c Th,38.6,5.4,56.0
3c Td,41.2,4.2,54.6
3c Tc,39.2,6.4,54.4
3c Ts,41.0,4.8,54.2
3c Jh,44.8,4.8,50.4
3c Jd,38.4,5.2,56.4
3c Jc,48.0,4.8,47.2
3c Js,44.6,3.6,51.8
3c Qh,47.8,4.2,48.0
3c Qd,43.4,4.0,52.6
3c Qc,45.8,4.4,49.8
3c Qs,45.0,4.8,50.2
3c Kh,54.2,3.0,42.8
3c Kd,51.6,3.4,45.0
3c Kc,49.4,1.6,49.0
3c Ks,48.6,4.2,47.2
3c Ah,55.8,4.4,39.8
3c Ad,52.4,4.4,43.2
3c Ac,56.4,4.0,39.6
3c As,59.2,2.6,38.2
3s 4h,31.2,5.6,63.2
3s 4d,36.6,6.0,57.4
3s 4c,29.6,5.6,64.8
3s 4s,35.8,6.6,57.6
3s 5h,35.6,5.8,58.6
3s 5d,30.8,5.0,64.2
3s 5c,33.2,7.6,59.2
3s 5s,40.2,5.2,54.6
3s 6h,33.2,7.4,59.4
3s 6d,33.0,3.6,63.4
3s 6c,34.0,4.4,61.6
3s 6s,37.6,4.6,57.8
3s 7h,35.2,6.6,58.2
3s 7d,37.6,7.0,55.4
3s 7c,33.0,7.2,59.8
3s 7s,35.6,6.0,58.4
3s 8h,37.2,5.4,57.4
3s 8d,35.6,6.4,58.0
3s 8c,34.4,5.0,60.6
3s 8s,35.0,6.4,58.6
3s 9h,37.4,6.4,56.2
3s 9d,34.8,5.0,60.2
3s 9c,33.8,3.8,62.4
3s 9s,42.2,4.4,53.4
3s Th,42.6,4.4,53.0
3s Td,37.4,6.0,56.6
3s Tc,38.0,5.0,57.0
3s Ts,40.6,4.8,54.6
3s Jh,42.4,4.4,53.2
3s Jd,42.8,5.0,52.2
3s Jc,46.2,4.2,49.6
3s Js,45.0,4.2,50.8
3s Qh,45.0,4.8,50.2
3s Qd,45.2,4.8,50.0
3s Qc,44.0,4.0,52.0
3s Qs,47.8,4.4,47.8
3s Kh,45.2,3.6,51.2
3s Kd,46.8,5.8,47.4
3s Kc,49.4,3.6,47.0
3s Ks,53.2,4.6,42.2
3s Ah,57.6,5.6,36.8
